"Model","MPG","Displacement","Class","Cylinders"
"audi a4 1999",29,1.8,"compact","4Cyl"
"audi a4 2008",31,2,"compact","4Cyl"
"audi a4 2008",30,2,"compact","4Cyl"
"audi a4 1999",26,2.8,"compact","6Cyl"
"audi a4 2008",27,3.1,"compact","6Cyl"
"audi a4 quattro 1999",26,1.8,"compact","4Cyl"
"audi a4 quattro 1999",25,1.8,"compact","4Cyl"
"audi a4 quattro 2008",28,2,"compact","4Cyl"
"audi a4 quattro 2008",27,2,"compact","4Cyl"
"audi a4 quattro 1999",25,2.8,"compact","6Cyl"
"audi a4 quattro 2008",25,3.1,"compact","6Cyl"
"audi a6 quattro 1999",24,2.8,"midsize","6Cyl"
"audi a6 quattro 2008",25,3.1,"midsize","6Cyl"
"audi a6 quattro 2008",23,4.2,"midsize","8Cyl"
"chevrolet c1500 suburban 2wd 2008",20,5.3,"suv","8Cyl"
"chevrolet c1500 suburban 2wd 2008",15,5.3,"suv","8Cyl"
"chevrolet c1500 suburban 2wd 1999",17,5.7,"suv","8Cyl"
"chevrolet c1500 suburban 2wd 2008",17,6,"suv","8Cyl"
"chevrolet corvette 1999",26,5.7,"2seater","8Cyl"
"chevrolet corvette 1999",23,5.7,"2seater","8Cyl"
"chevrolet corvette 2008",26,6.2,"2seater","8Cyl"
"chevrolet corvette 2008",25,6.2,"2seater","8Cyl"
"chevrolet corvette 2008",24,7,"2seater","8Cyl"
"chevrolet k1500 tahoe 4wd 2008",19,5.3,"suv","8Cyl"
"chevrolet k1500 tahoe 4wd 2008",14,5.3,"suv","8Cyl"
"chevrolet k1500 tahoe 4wd 1999",15,5.7,"suv","8Cyl"
"chevrolet k1500 tahoe 4wd 1999",17,6.5,"suv","8Cyl"
"chevrolet malibu 1999",27,2.4,"midsize","4Cyl"
"chevrolet malibu 2008",30,2.4,"midsize","4Cyl"
"chevrolet malibu 1999",26,3.1,"midsize","6Cyl"
"chevrolet malibu 2008",29,3.5,"midsize","6Cyl"
"chevrolet malibu 2008",26,3.6,"midsize","6Cyl"
"dodge caravan 2wd 1999",24,2.4,"minivan","4Cyl"
"dodge caravan 2wd 1999",24,3,"minivan","6Cyl"
"dodge caravan 2wd 1999",22,3.3,"minivan","6Cyl"
"dodge caravan 2wd 2008",24,3.3,"minivan","6Cyl"
"dodge caravan 2wd 2008",17,3.3,"minivan","6Cyl"
"dodge caravan 2wd 1999",22,3.8,"minivan","6Cyl"
"dodge caravan 2wd 1999",21,3.8,"minivan","6Cyl"
"dodge caravan 2wd 2008",23,3.8,"minivan","6Cyl"
"dodge caravan 2wd 2008",23,4,"minivan","6Cyl"
"dodge dakota pickup 4wd 2008",19,3.7,"pickup","6Cyl"
"dodge dakota pickup 4wd 2008",18,3.7,"pickup","6Cyl"
"dodge dakota pickup 4wd 1999",17,3.9,"pickup","6Cyl"
"dodge dakota pickup 4wd 2008",19,4.7,"pickup","8Cyl"
"dodge dakota pickup 4wd 2008",12,4.7,"pickup","8Cyl"
"dodge dakota pickup 4wd 1999",17,5.2,"pickup","8Cyl"
"dodge dakota pickup 4wd 1999",15,5.2,"pickup","8Cyl"
"dodge durango 4wd 1999",17,3.9,"suv","6Cyl"
"dodge durango 4wd 2008",17,4.7,"suv","8Cyl"
"dodge durango 4wd 2008",12,4.7,"suv","8Cyl"
"dodge durango 4wd 1999",16,5.2,"suv","8Cyl"
"dodge durango 4wd 2008",18,5.7,"suv","8Cyl"
"dodge durango 4wd 1999",15,5.9,"suv","8Cyl"
"dodge ram 1500 pickup 4wd 2008",16,4.7,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 2008",12,4.7,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 2008",17,4.7,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 1999",15,5.2,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 1999",16,5.2,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 2008",17,5.7,"pickup","8Cyl"
"dodge ram 1500 pickup 4wd 1999",15,5.9,"pickup","8Cyl"
"ford expedition 2wd 1999",17,4.6,"suv","8Cyl"
"ford expedition 2wd 1999",17,5.4,"suv","8Cyl"
"ford expedition 2wd 2008",18,5.4,"suv","8Cyl"
"ford explorer 4wd 1999",17,4,"suv","6Cyl"
"ford explorer 4wd 1999",19,4,"suv","6Cyl"
"ford explorer 4wd 2008",19,4,"suv","6Cyl"
"ford explorer 4wd 2008",19,4.6,"suv","8Cyl"
"ford explorer 4wd 1999",17,5,"suv","8Cyl"
"ford f150 pickup 4wd 1999",17,4.2,"pickup","6Cyl"
"ford f150 pickup 4wd 1999",16,4.6,"pickup","8Cyl"
"ford f150 pickup 4wd 2008",17,4.6,"pickup","8Cyl"
"ford f150 pickup 4wd 1999",15,5.4,"pickup","8Cyl"
"ford f150 pickup 4wd 2008",17,5.4,"pickup","8Cyl"
"ford mustang 1999",26,3.8,"subcompact","6Cyl"
