,Year,MPG,Class,Cylinders
nissan pathfinder 4wd,2010,17,suv,6
Ford explorer 4wd,2010,17,suv,8
Toyota camry,2020,28,midsize,6
lincoln navigator 2wd,2010,17,suv,8
ford f150 pickup 4wd,2010,16,pickup,8
audi a6 quattro,2010,24,midsize,6
Ford mustang,2010,21,subcompact,8
hyundai sonata,2020,30,midsize,4
Hyundai tiburon,2010,26,subcompact,4
Chevrolet malibu,2020,30,midsize,4
chevrolet k1500 tahoe 4wd,2010,15,suv,8
ford mustang,2020,23,subcompact,8
Toyota camry solara,2020,31,compact,4
Honda civic,2020,34,subcompact,4
Ford explorer 4wd,2010,17,suv,6
Volkswagen new beetle,2010,44,subcompact,4
audi a4 quattro,2010,25,compact,6
Ford mustang,2010,26,subcompact,6
Hyundai sonata,2020,28,midsize,6
dodge durango 4wd,2020,17,suv,8
Volkswagen gti,2020,29,compact,4
volkswagen jetta,2010,44,compact,4
volkswagen new beetle,2020,45,subcompact,4
Toyota camry,2010,29,midsize,4
Toyota tacoma 4wd,2010,20,pickup,4
Dodge durango 4wd,2010,16,suv,8
audi a4 quattro,2010,26,compact,4
audi a4,2010,29,compact,4
pontiac grand prix,2010,26,midsize,6
Lincoln navigator 2wd,2020,18,suv,8
Toyota camry,2020,31,midsize,4
Mercury mountaineer 4wd,2020,19,suv,6
chevrolet malibu,2010,26,midsize,6
Toyota 4runner 4wd,2010,19,suv,6
Jeep grand cherokee 4wd,2020,22,suv,6
ford explorer 4wd,2020,19,suv,6
Chevrolet k1500 tahoe 4wd,2020,19,suv,8
Dodge ram 1500 pickup 4wd,2010,15,pickup,8
Toyota 4runner 4wd,2020,20,suv,6
subaru forester awd,2010,25,suv,4
dodge dakota pickup 4wd,2010,17,pickup,6
toyota corolla,2020,37,compact,4
toyota land cruiser wagon 4wd,2020,18,suv,8
Audi a4,2010,26,compact,6
Mercury mountaineer 4wd,2010,17,suv,6
nissan altima,2010,29,compact,4
nissan maxima,2010,26,midsize,6
chevrolet c1500 suburban 2wd,2010,17,suv,8
toyota camry,2010,26,midsize,6
volkswagen gti,2010,29,compact,4
Audi a4 quattro,2020,25,compact,6
Chevrolet malibu,2020,29,midsize,6
toyota tacoma 4wd,2020,22,pickup,4
Jeep grand cherokee 4wd,2020,12,suv,8
dodge dakota pickup 4wd,2020,18,pickup,6
Hyundai sonata,2010,26,midsize,6
Chevrolet c1500 suburban 2wd,2020,20,suv,8
Dodge dakota pickup 4wd,2020,19,pickup,8
volkswagen passat,2020,28,midsize,4
Subaru impreza awd,2010,26,subcompact,4
Toyota corolla,2010,30,compact,4
Toyota land cruiser wagon 4wd,2010,15,suv,8
jeep grand cherokee 4wd,2010,20,suv,6
Jeep grand cherokee 4wd,2010,17,suv,8
ford f150 pickup 4wd,2020,17,pickup,8
Volkswagen passat,2010,26,midsize,6
Subaru impreza awd,2010,24,compact,4
Ford mustang,2020,26,subcompact,6
Hyundai tiburon,2020,28,subcompact,4
Subaru forester awd,2020,27,suv,4
chevrolet malibu,2010,27,midsize,4
mercury mountaineer 4wd,2020,19,suv,8
Ford expedition 2wd,2010,17,suv,8
nissan altima,2010,30,midsize,4
nissan pathfinder 4wd,2020,20,suv,6
Toyota camry solara,2010,26,compact,6
toyota tacoma 4wd,2010,17,pickup,6
nissan maxima,2020,25,midsize,6
audi a4 quattro,2020,28,compact,4
toyota tacoma 4wd,2020,18,pickup,6
ford expedition 2wd,2020,18,suv,8
Nissan altima,2020,30,compact,4
volkswagen jetta,2020,45,compact,4
hyundai sonata,2010,26,midsize,4
Dodge dakota pickup 4wd,2010,18,pickup,8
Pontiac grand prix,2020,28,midsize,6
Ford explorer 4wd,2020,19,suv,8
Audi a6 quattro,2020,25,midsize,6
Honda civic,2010,33,subcompact,4
Volkswagen passat,2020,26,midsize,6
Toyota camry solara,2010,27,compact,4
audi a4,2020,31,compact,4
dodge ram 1500 pickup 4wd,2020,16,pickup,8
nissan altima,2020,31,midsize,4
volkswagen passat,2010,29,midsize,4
toyota camry solara,2020,27,compact,6
mercury mountaineer 4wd,2010,17,suv,8
subaru impreza awd,2020,27,subcompact,4
subaru impreza awd,2020,25,compact,4
audi a4,2020,27,compact,6
volkswagen Valkyrie,2010,10,suv,8
volkswagen Valkyrie,2020,11,suv,8
volkswagen Olympus,2010,12,suv,8
volkswagen olympus,2020,13,suv,8
volkswagen bunny rabbit,2010,34,midsize,6
volkswagen bunny rabbit,2020,35,midsize,6
volkswagen noodle,2010,36,midsize,6
volkswagen Noodle,2020,37,midsize,6
