pokedex_number,name,japanese_name,type1,type2,generation,is_legendary,height_m,weight_kg,speed,hp,attack,sp_attack,defense,sp_defense,egg_steps,happiness,base_total,capture_rate,experience,perc_male,against_bug,against_dragon,against_electric,against_fire,against_ice,against_poison,against_psychic,against_water,abilities
1,Bulbasaur,Fushigidaneフシギダネ,grass,poison,1,no,0.7,6.9,45,45,49,65,49,65,5120,70,318,45,1059860,88.1,1,1,0.5,2,2,1,2,0.5,"['Overgrow', 'Chlorophyll']"
2,Ivysaur,Fushigisouフシギソウ,grass,poison,1,no,1,13,60,60,62,80,63,80,5120,70,405,45,1059860,88.1,1,1,0.5,2,2,1,2,0.5,"['Overgrow', 'Chlorophyll']"
3,Venusaur,Fushigibanaフシギバナ,grass,poison,1,no,2,100,80,80,100,122,123,120,5120,70,625,45,1059860,88.1,1,1,0.5,2,2,1,2,0.5,"['Overgrow', 'Chlorophyll']"
4,Charmander,Hitokageヒトカゲ,fire,,1,no,0.6,8.5,65,39,52,60,43,50,5120,70,309,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Solar Power']"
5,Charmeleon,Lizardoリザード,fire,,1,no,1.1,19,80,58,64,80,58,65,5120,70,405,45,1059860,88.1,0.5,1,1,0.5,0.5,1,1,2,"['Blaze', 'Solar Power']"
6,Charizard,Lizardonリザードン,fire,flying,1,no,1.7,90.5,100,78,104,159,78,115,5120,70,634,45,1059860,88.1,0.25,1,2,0.5,1,1,1,2,"['Blaze', 'Solar Power']"
7,Squirtle,Zenigameゼニガメ,water,,1,no,0.5,9,43,44,48,50,65,64,5120,70,314,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Rain Dish']"
8,Wartortle,Kameilカメール,water,,1,no,1,22.5,58,59,63,65,80,80,5120,70,405,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Rain Dish']"
9,Blastoise,Kamexカメックス,water,,1,no,1.6,85.5,78,79,103,135,120,115,5120,70,630,45,1059860,88.1,1,1,2,0.5,0.5,1,1,0.5,"['Torrent', 'Rain Dish']"
10,Caterpie,Caterpieキャタピー,bug,,1,no,0.3,2.9,45,45,30,20,35,20,3840,70,195,255,1000000,50,1,1,1,2,1,1,1,1,"['Shield Dust', 'Run Away']"
11,Metapod,Transelトランセル,bug,,1,no,0.7,9.9,30,50,20,25,55,25,3840,70,205,120,1000000,50,1,1,1,2,1,1,1,1,['Shed Skin']
12,Butterfree,Butterfreeバタフリー,bug,flying,1,no,1.1,32,70,60,45,90,50,80,3840,70,395,45,1000000,50,0.5,1,2,2,2,1,1,1,"['Compoundeyes', 'Tinted Lens']"
13,Weedle,Beedleビードル,bug,poison,1,no,0.3,3.2,50,40,35,20,30,20,3840,70,195,255,1000000,50,0.5,1,1,2,1,0.5,2,1,"['Shield Dust', 'Run Away']"
14,Kakuna,Cocoonコクーン,bug,poison,1,no,0.6,10,35,45,25,25,50,25,3840,70,205,120,1000000,50,0.5,1,1,2,1,0.5,2,1,['Shed Skin']
15,Beedrill,Spearスピアー,bug,poison,1,no,1,29.5,145,65,150,15,40,80,3840,70,495,45,1000000,50,0.5,1,1,2,1,0.5,2,1,"['Swarm', 'Sniper']"
16,Pidgey,Poppoポッポ,normal,flying,1,no,0.3,1.8,56,40,45,35,40,35,3840,70,251,255,1059860,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
17,Pidgeotto,Pigeonピジョン,normal,flying,1,no,1.1,30,71,63,60,50,55,50,3840,70,349,120,1059860,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
18,Pidgeot,Pigeotピジョット,normal,flying,1,no,1.5,39.5,121,83,80,135,80,80,3840,70,579,45,1059860,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Tangled Feet', 'Big Pecks']"
19,Rattata,Korattaコラッタ,normal,dark,1,no,,,72,30,56,25,35,35,3840,70,253,255,1000000,50,1,1,1,1,1,1,1,1,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
20,Raticate,Rattaラッタ,normal,dark,1,no,,,77,75,71,40,70,80,3840,70,413,127,1000000,50,1,1,1,1,1,1,1,1,"['Run Away', 'Guts', 'Hustle', 'Gluttony', 'Hustle', 'Thick Fat']"
21,Spearow,Onisuzumeオニスズメ,normal,flying,1,no,0.3,2,70,40,60,31,30,31,3840,70,262,255,1000000,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Sniper']"
22,Fearow,Onidrillオニドリル,normal,flying,1,no,1.2,38,100,65,90,61,65,61,3840,70,442,90,1000000,50,0.5,1,2,1,2,1,1,1,"['Keen Eye', 'Sniper']"
