name,abilities,is_legendary,type
Bulbasaur,"['Overgrow', 'Chlorophyll']",no,grass
Ivysaur,"['Overgrow', 'Chlorophyll']",no,grass
Venusaur,"['Overgrow', 'Chlorophyll']",no,grass
Charmander,"['Blaze', 'Solar Power']",no,fire
Charmeleon,"['Blaze', 'Solar Power']",no,fire
Charizard,"['Blaze', 'Solar Power']",no,fire
Squirtle,"['Torrent', 'Rain Dish']",no,water
Wartortle,"['Torrent', 'Rain Dish']",no,water
Blastoise,"['Torrent', 'Rain Dish']",no,water
Caterpie,"['Shield Dust', 'Run Away']",no,bug
Metapod,['Shed Skin'],no,bug
Butterfree,"['Compoundeyes', 'Tinted Lens']",no,bug
Weedle,"['Shield Dust', 'Run Away']",no,bug
Kakuna,['Shed Skin'],no,bug
Beedrill,"['Swarm', 'Sniper']",no,bug
Pidgey,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",no,normal
Pidgeotto,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",no,normal
Pidgeot,"['Keen Eye', 'Tangled Feet', 'Big Pecks']",no,normal
Spearow,"['Keen Eye', 'Sniper']",no,normal
Fearow,"['Keen Eye', 'Sniper']",no,normal
Ekans,"['Intimidate', 'Shed Skin', 'Unnerve']",no,poison
Arbok,"['Intimidate', 'Shed Skin', 'Unnerve']",no,poison
Pikachu,"['Static', 'Lightningrod']",no,electric
Nidoran♀,"['Poison Point', 'Rivalry', 'Hustle']",no,poison
Nidorina,"['Poison Point', 'Rivalry', 'Hustle']",no,poison
Nidoqueen,"['Poison Point', 'Rivalry', 'Sheer Force']",no,poison
Nidoran♂,"['Poison Point', 'Rivalry', 'Hustle']",no,poison
Nidorino,"['Poison Point', 'Rivalry', 'Hustle']",no,poison
Nidoking,"['Poison Point', 'Rivalry', 'Sheer Force']",no,poison
Clefairy,"['Cute Charm', 'Magic Guard', 'Friend Guard']",no,fairy
Clefable,"['Cute Charm', 'Magic Guard', 'Unaware']",no,fairy
Jigglypuff,"['Cute Charm', 'Competitive', 'Friend Guard']",no,normal
Wigglytuff,"['Cute Charm', 'Competitive', 'Frisk']",no,normal
Zubat,"['Inner Focus', 'Infiltrator']",no,poison
Golbat,"['Inner Focus', 'Infiltrator']",no,poison
Oddish,"['Chlorophyll', 'Run Away']",no,grass
Gloom,"['Chlorophyll', 'Stench']",no,grass
Vileplume,"['Chlorophyll', 'Effect Spore']",no,grass
Paras,"['Effect Spore', 'Dry Skin', 'Damp']",no,bug
Parasect,"['Effect Spore', 'Dry Skin', 'Damp']",no,bug
Venonat,"['Compoundeyes', 'Tinted Lens', 'Run Away']",no,bug
Venomoth,"['Shield Dust', 'Tinted Lens', 'Wonder Skin ']",no,bug
Psyduck,"['Damp', 'Cloud Nine', 'Swift Swim']",no,water
Golduck,"['Damp', 'Cloud Nine', 'Swift Swim']",no,water
Mankey,"['Vital Spirit', 'Anger Point', 'Defiant']",no,fighting
Primeape,"['Vital Spirit', 'Anger Point', 'Defiant']",no,fighting
Growlithe,"['Intimidate', 'Flash Fire', 'Justified']",no,fire
Arcanine,"['Intimidate', 'Flash Fire', 'Justified']",no,fire
Poliwag,"['Water Absorb', 'Damp', 'Swift Swim']",no,water
Poliwhirl,"['Water Absorb', 'Damp', 'Swift Swim']",no,water
Poliwrath,"['Water Absorb', 'Damp', 'Swift Swim']",no,water
Abra,"['Synchronize', 'Inner Focus', 'Magic Guard']",no,psychic
Kadabra,"['Synchronize', 'Inner Focus', 'Magic Guard']",no,psychic
Alakazam,"['Synchronize', 'Inner Focus', 'Magic Guard']",no,psychic
Machop,"['Guts', 'No Guard', 'Steadfast']",no,fighting
Machoke,"['Guts', 'No Guard', 'Steadfast']",no,fighting
Machamp,"['Guts', 'No Guard', 'Steadfast']",no,fighting
Bellsprout,"['Chlorophyll', 'Gluttony']",no,grass
Weepinbell,"['Chlorophyll', 'Gluttony']",no,grass
Victreebel,"['Chlorophyll', 'Gluttony']",no,grass
Tentacool,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",no,water
Tentacruel,"['Clear Body', 'Liquid Ooze', 'Rain Dish']",no,water
Ponyta,"['Run Away', 'Flash Fire', 'Flame Body']",no,fire
Rapidash,"['Run Away', 'Flash Fire', 'Flame Body']",no,fire
Slowpoke,"['Oblivious', 'Own Tempo', 'Regenerator']",no,water
Slowbro,"['Oblivious', 'Own Tempo', 'Regenerator']",no,water
Magnemite,"['Magnet Pull', 'Sturdy', 'Analytic']",no,electric
Magneton,"['Magnet Pull', 'Sturdy', 'Analytic']",no,electric
Farfetch'd,"['Keen Eye', 'Inner Focus', 'Defiant']",no,normal
Doduo,"['Run Away', 'Early Bird', 'Tangled Feet']",no,normal
Dodrio,"['Run Away', 'Early Bird', 'Tangled Feet']",no,normal
Seel,"['Thick Fat', 'Hydration', 'Ice Body']",no,water
Dewgong,"['Thick Fat', 'Hydration', 'Ice Body']",no,water
Shellder,"['Shell Armor', 'Skill Link', 'Overcoat']",no,water
Cloyster,"['Shell Armor', 'Skill Link', 'Overcoat']",no,water
Gastly,['Levitate'],no,ghost
Haunter,['Levitate'],no,ghost
Gengar,['Cursed Body'],no,ghost
Onix,"['Rock Head', 'Sturdy', 'Weak Armor']",no,rock
Drowzee,"['Insomnia', 'Forewarn', 'Inner Focus']",no,psychic
Hypno,"['Insomnia', 'Forewarn', 'Inner Focus']",no,psychic
Krabby,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",no,water
Kingler,"['Hyper Cutter', 'Shell Armor', 'Sheer Force']",no,water
Voltorb,"['Soundproof', 'Static', 'Aftermath']",no,electric
Electrode,"['Soundproof', 'Static', 'Aftermath']",no,electric
Exeggcute,"['Chlorophyll', 'Harvest']",no,grass
Cubone,"['Rock Head', 'Lightningrod', 'Battle Armor']",no,ground
Hitmonlee,"['Limber', 'Reckless', 'Unburden']",no,fighting
Hitmonchan,"['Keen Eye', 'Iron Fist', 'Inner Focus']",no,fighting
Lickitung,"['Own Tempo', 'Oblivious', 'Cloud Nine']",no,normal
Koffing,['Levitate'],no,poison
Weezing,['Levitate'],no,poison
Rhyhorn,"['Lightningrod', 'Rock Head', 'Reckless']",no,ground
Rhydon,"['Lightningrod', 'Rock Head', 'Reckless']",no,ground
Chansey,"['Natural Cure', 'Serene Grace', 'Healer']",no,normal
Tangela,"['Chlorophyll', 'Leaf Guard', 'Regenerator']",no,grass
Kangaskhan,"['Early Bird', 'Scrappy', 'Inner Focus']",no,normal
Horsea,"['Swift Swim', 'Sniper', 'Damp']",no,water
Seadra,"['Poison Point', 'Sniper', 'Damp']",no,water
